Programatic Name,OID Name,OID Numeric,Index Name
val_sys_tmp_dewPnt,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpEnvDewPointTemperature
val_sys_tmp_dewPnt,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpEnvDewPointTemperature
val_sys_tmp_dewPnt,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4867
val_sys_tmp_dewPnt,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4867
val_ext_tmp_airMinSetPt,lgpEnvTemperatureSetPointTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.53,lgpEnvMinDesiredRoomAirTemperature
val_ext_tmp_airMinSetPt,lgpEnvTemperatureSetPointTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.53,lgpEnvMinDesiredRoomAirTemperature
val_ext_tmp_airMinSetPt,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4709
val_ext_tmp_airMinSetPt,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4709
val_ext_tmp_airA,lgpEnvTemperatureMeasurementTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50,lgpEnvExternalAirSensorA
val_ext_tmp_airA,lgpEnvTemperatureMeasurementTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50,lgpEnvExternalAirSensorA
val_ext_tmp_airA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4594
val_ext_tmp_airA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4594
val_ext_pct_hmdtyAirA,lgpEnvHumidityMeasurementRel,.1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.3,lgpEnvExternalAirSensorA
val_ext_pct_hmdtyAirA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4595
val_ext_tmp_dewPntA,lgpEnvTemperatureMeasurementTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50,lgpEnvExternalAirSensorADewPoint
val_ext_tmp_dewPntA,lgpEnvTemperatureMeasurementTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50,lgpEnvExternalAirSensorADewPoint
val_ext_tmp_dewPntA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4596
val_ext_tmp_dewPntA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4596
val_ext_tmp_airB,lgpEnvTemperatureMeasurementTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50,lgpEnvExternalAirSensorB
val_ext_tmp_airB,lgpEnvTemperatureMeasurementTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50,lgpEnvExternalAirSensorB
val_ext_tmp_airB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4597
val_ext_tmp_airB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4597
val_ext_pct_hmdtyAirB,lgpEnvHumidityMeasurementRel,.1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.3,lgpEnvExternalAirSensorB
val_ext_pct_hmdtyAirB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4598
val_ext_tmp_dewPntB,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpEnvExternalAirSensorBDewPoint
val_ext_tmp_dewPntB,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpEnvExternalAirSensorBDewPoint
val_ext_tmp_dewPntB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4599
val_ext_tmp_dewPntB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4599
val_ext_tmp_airOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpEnvExternalAirSensorB
val_ext_tmp_airOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpEnvExternalAirSensorB
val_ext_tmp_airOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpEnvExternalAirSensorA
val_ext_tmp_airOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpEnvExternalAirSensorA
val_ext_tmp_airOverThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4600
val_ext_tmp_airOverThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4600
evt_ext_tmpAirOverA,lgpConditionHighTemperatureExternalAirSensorA,.1.3.6.1.4.1.476.1.42.3.2.1.142.6
st_ext_tmpAirOverEnableA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4602
st_ext_tmpAirOverTypeA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4603
evt_ext_tmpAirOverB,lgpConditionHighTemperatureExternalAirSensorB,.1.3.6.1.4.1.476.1.42.3.2.1.142.7
st_ext_tmpAirOverEnableB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4605
st_ext_tmpAirOverTypeB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4606
val_ext_tmp_airUnderThrshld,lgpEnvTemperatureLowThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.52,lgpEnvExternalAirSensorB
val_ext_tmp_airUnderThrshld,lgpEnvTemperatureLowThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.52,lgpEnvExternalAirSensorB
val_ext_tmp_airUnderThrshld,lgpEnvTemperatureLowThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.52,lgpEnvExternalAirSensorA
val_ext_tmp_airUnderThrshld,lgpEnvTemperatureLowThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.52,lgpEnvExternalAirSensorA
val_ext_tmp_airUnderThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4607
val_ext_tmp_airUnderThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4607
evt_ext_tmpAirUnderA,lgpConditionLowTemperatureExternalAirSensorA,.1.3.6.1.4.1.476.1.42.3.2.1.143.3
st_ext_tmpAirUnderEnableA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4609
st_ext_tmpAirUnderTypeA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4610
evt_ext_tmpAirUnderB,lgpConditionLowTemperatureExternalAirSensorB,.1.3.6.1.4.1.476.1.42.3.2.1.143.4
st_ext_tmpAirUnderEnableB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4612
st_ext_tmpAirUnderTypeB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4613
val_ext_tmp_dewPntOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpEnvDewPointTemperature
val_ext_tmp_dewPntOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpEnvDewPointTemperature
val_ext_tmp_dewPntOverThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4614
val_ext_tmp_dewPntOverThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4614
evt_ext_tmpDewPntOver,lgpConditionHighExternalDewPoint,.1.3.6.1.4.1.476.1.42.3.2.1.163
st_ext_tmpDewPntOverEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4616
st_ext_tmpDewPntOverType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4617
evt_ext_snsrAirIssueA,lgpConditionAirSensorAFailure,.1.3.6.1.4.1.476.1.42.3.2.1.54.18
st_ext_snsrAirIssueEnableA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4619
st_ext_snsrAirIssueTypeA,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4620
evt_ext_snsrAirIssueB,lgpConditionAirSensorBFailure,.1.3.6.1.4.1.476.1.42.3.2.1.54.19
st_ext_snsrAirIssueEnableB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4622
st_ext_snsrAirIssueTypeB,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4623
val_clng_tmp_supCW,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpChillWaterTemperature
val_clng_tmp_supCW,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpChillWaterTemperature
val_clng_tmp_supCW,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4624
val_clng_tmp_supCW,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4624
val_clng_tmp_supCWOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpChillWaterTemperature
val_clng_tmp_supCWOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpChillWaterTemperature
val_clng_tmp_supCWOverThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4625
val_clng_tmp_supCWOverThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4625
evt_clng_tmpSupCWOver,lgpConditionChilledWaterOverTemperature,.1.3.6.1.4.1.476.1.42.3.2.1.59.12
st_clng_tmpSupCWOverEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4627
st_clng_tmpSupCWOverType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4628
evt_clng_snsrSupCWIssue,lgpConditionChilledWaterSupplySensorFailure,.1.3.6.1.4.1.476.1.42.3.2.1.54.20
st_clng_snsrSupCWIssueEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4630
st_clng_snsrSupCWIssueType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4631
evt_valv_CWPosition,lgpConditionChilledWaterValvePosition,.1.3.6.1.4.1.476.1.42.3.2.1.233.1
st_valv_CWPositionEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4704
st_valv_CWPositionType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4705
val_clng_tmp_supRfg,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpEnvSupplyRefrigerantTemperature
val_clng_tmp_supRfg,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpEnvSupplyRefrigerantTemperature
val_clng_tmp_supRfg,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4632
val_clng_tmp_supRfg,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4632
val_clng_tmp_supRfgOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51,lgpEnvSupplyRefrigerantTemperature
val_clng_tmp_supRfgOverThrshld,lgpEnvTemperatureHighThresholdTenthsDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51,lgpEnvSupplyRefrigerantTemperature
val_clng_tmp_supRfgOverThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4633
val_clng_tmp_supRfgOverThrshld,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.2.4633
evt_clng_tmpSupRfgOver,lgpConditionHighTemperatureRefrigerantSupply,.1.3.6.1.4.1.476.1.42.3.2.1.142.8
st_clng_tmpSupRfgOverEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4635
st_clng_tmpSupRfgOverType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4636
evt_clng_tmpSupRfgUnder,lgpConditionLowTemperatureRefrigerantSupply,.1.3.6.1.4.1.476.1.42.3.2.1.143.5
st_clng_tmpSupRfgUnderEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4638
st_clng_tmpSupRfgUnderType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4639
evt_clng_snsrSupRfgIssue,lgpConditionRefrigerantSupplySensorFailure,.1.3.6.1.4.1.476.1.42.3.2.1.54.21
st_clng_snsrSupRfgIssueEnable,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4641
st_clng_snsrSupRfgIssueType,lgpFlexibleEntryReadableValue,.1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4642
val_clng_tmp_supFlu,lgpEnvTemperatureMeasurementDegF,.1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3,lgpEnvSupplyFluidTemperature
val_clng_tmp_supFlu,lgpEnvTemperatureMeasurementDegC,.1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3,lgpEnvSupplyFluidTemperature
